"Pop1","pop2","Lower_CI","Upper_CI","P.value","Fst"
"T2_Middle","T2_Lower","0.519267441204489","0.633718009930398","0","0.589529689805807"
"T2_Middle","T1_Lower","0.619966115384248","0.726648521569311","0","0.678938355506514"
"T2_Middle","T1_Upper","0.587369037050337","0.731992010271167","0","0.674128015900168"
"T2_Middle","T1_Middle","0.225679176594369","0.362841811999718","0","0.303187844060499"
"T2_Middle","T2_Upper","0.651182320981005","0.788714684869047","0","0.730403669435033"
"T2_Lower","T1_Lower","0.429477024340643","0.491649106748543","0","0.462862590130551"
"T2_Lower","T1_Upper","0.467557101740601","0.582746192034491","0","0.529891889417422"
"T2_Lower","T1_Middle","0.247004531581262","0.337896824337847","0","0.298526837450108"
"T2_Lower","T2_Upper","0.0414569410995399","0.0841171243480958","0","0.0606235294694711"
"T1_Lower","T1_Upper","0.319189492396544","0.369032832649012","0","0.345711604470762"
"T1_Lower","T1_Middle","0.301197559307644","0.370696513295837","0","0.336935834503782"
"T1_Lower","T2_Upper","0.399828163494823","0.458588825826224","0","0.426537052077785"
"T1_Upper","T1_Middle","0.285111033343122","0.372407270116335","0","0.338067737065063"
"T1_Upper","T2_Upper","0.39733302646502","0.516674319932475","0","0.466904270773058"
"T1_Middle","T2_Upper","0.233406148174545","0.378114430779942","0","0.313445776611539"
